text,label
今日はとても寒いですね。,easy
私は毎朝コーヒーを飲みます。,easy
駅の前に小さい公園があります。,easy
この本はとても面白いです。,easy
友だちと映画を見に行きました。,easy
昨日の夜はよく眠れませんでした。,easy
明日は早く起きなければなりません。,easy
僕は日本語を勉強しています。,easy
この店はいつも人が多いです。,easy
机の上にノートがあります。,easy
朝ごはんを食べてから学校へ行きます。,easy
ここで写真を撮ってもいいですか。,easy
彼は料理を作るのが上手です。,easy
今日は忙しいので家で休みます。,easy
この問題は少し難しいと思います。,easy
電車が遅れたので遅刻しました。,easy
週末に友人と山へ登る予定です。,easy
私は音楽を聞きながら勉強します。,easy
新しい靴を買いたいです。,easy
駅まで歩くと十五分ぐらいかかります。,easy
彼女は図書館で本を読んでいます。,easy
今日は昨日より暖かいです。,easy
僕は毎晩日記を書いています。,easy
昼ごはんにラーメンを食べました。,easy
窓を開けると涼しい風が入ります。,easy
旅行の前にホテルを予約しました。,easy
先生に質問をしてもいいですか。,easy
この町は静かで住みやすいです。,easy
彼は日本に三年間住んでいました。,easy
今から買い物に出かけます。,easy
雨が降りそうだから傘を持っていきます。,easy
このカメラは使い方が簡単です。,easy
電車の中で本を読むことが多いです。,easy
母は毎日早く起きて弁当を作ります。,easy
来月大阪へ出張に行きます。,easy
ここに名前を書いてください。,easy
この料理は少し辛いですね。,easy
仕事が終わったら連絡してください。,easy
僕は犬より猫が好きです。,easy
週末は家族と食事をします。,easy
彼は外国語を学ぶのが好きです。,easy
この橋を渡ると駅に着きます。,easy
今日は会議が三つあります。,easy
私はコーヒーよりお茶をよく飲みます。,easy
部屋をきれいに掃除しました。,easy
図書館は九時に開きます。,easy
この道をまっすぐ行ってください。,easy
新しいレストランができました。,easy
子どもたちは公園で遊んでいます。,easy
明日の予定を確認しましょう。,easy
今日は午後から雨が降るそうです。,easy
僕は週末に家族と食事をします。,easy
彼は毎日早く会社に行きます。,easy
図書館で新しい本を借りました。,easy
駅まで歩くと二十分ぐらいかかります。,easy
この料理は少し辛いですがおいしいです。,easy
彼女は外国語を勉強するのが好きです。,easy
昨日の夜はあまり眠れませんでした。,easy
私は毎朝ニュースを読みます。,easy
友達と話してもいいです。,easy
手を洗ってからご飯を食べます。,easy
毎朝コーヒーを飲みます。,easy
学校に行くとき、雨が降っていました。,easy
このケーキはとても美味しいです。,easy
夏休みに海に行くつもりです。,easy
明日までに宿題を出さなければならない。,easy
新しいカバンを買いました。,easy
電話をかける前に名前を確認してください。,easy
雨が降っても、学校に行きます。,easy
映画を見ながらポップコーンを食べました。,easy
この道は歩きやすいです。,easy
本を読むのが好きです。,easy
漢字を覚えるのが大変です。,easy
彼はサッカーが上手です。,easy
この中で誰が一番早く走れますか。,easy
お金が必要です。,easy
この料理は辛いですが、美味しいです。,easy
日本に行ったことがありますか。,easy
先生に手紙を書きました。,easy
お菓子を食べないでください。,easy
勉強しなくてもいいです。,easy
毎日運動しなくちゃ。,easy
レポートを書かなくてはいけません。,easy
医者になりたいです。,easy
雨が降っているんです。,easy
明日、友達に会います。,easy
コーヒーにします。,easy
これは私の本です。,easy
試験のために勉強するのです。,easy
ピアノを弾くのが下手です。,easy
サッカーをするのが上手です。,easy
読書をするのが好きです。,easy
この中で誰が一番背が高いですか。,easy
