この結果を踏まえて次の計画を立てる必要があります。

id,text,label,target_jlpt
E001,今日はいい天気だよ。,easy,N5
E002,俺は毎日コーヒーを飲みますよ。,easy,N5
E003,駅まで歩いて十分かかります。,easy,N4
E004,宿題が終わったので、友だちと公園で遊びました。,easy,N4
E005,週末は友だちと映画を見に行きます。,easy,N4
E006,私は学生です。,easy,N5
E007,今日は学校へ行きます。,easy,N5
E008,駅で友だちに会いました。,easy,N5
E009,朝ごはんを食べてから出かけます。,easy,N5
E010,家で音楽を聞きます。,easy,N5
E011,この本はとても面白いです。,easy,N5
E012,毎日少し日本語を勉強します。,easy,N5
E013,昨日は早く寝ました。,easy,N5
E014,図書館で本を借りました。,easy,N5
E015,昼ごはんはパンを食べました。,easy,N5
E016,今日は雨が降っています。,easy,N5
E017,ここは静かで安心です。,easy,N4
E018,電車が遅れたので少し待ちました。,easy,N4
E019,道に迷ったけど親切な人が教えてくれました。,easy,N4
E020,旅行のためにお金を少し貯めています。,easy,N4
E021,疲れたので今日は早めに帰ります。,easy,N4
E022,友だちと話していると時間がすぐ過ぎます。,easy,N4
E023,この店は安いし料理もおいしいです。,easy,N4
E024,新しい靴を買ったので散歩に行きます。,easy,N4
E025,朝は寒かったけれど昼は暖かくなりました。,easy,N4
E026,この写真を見て家族のことを思い出しました。,easy,N4
E027,宿題を忘れないようにメモしました。,easy,N4
E028,病院へ行ったらすぐ診てもらえました。,easy,N4
E029,時間が足りなかったので後で続きをします。,easy,N4
E030,予定が変わったから明日また連絡します。,easy,N4
E031,練習すればするほど上手になります。,easy,N4
E032,駅から家まで自転車で十分ぐらいです。,easy,N4
E033,週末は家でゆっくり休みたいです。,easy,N4
M001,最近忙しくて運動する時間が取れません。,medium,N3
M002,雨が降りそうなので傘を持って行くことにしました。,medium,N3
M003,彼は冗談のつもりだったらしいけど私は少し困りました。,medium,N3
M004,忘れないように大事なことは先にメモしておきます。,medium,N3
M005,宿題をしながら音楽を聞くと集中できません。,medium,N3
M006,時間があったらもう少し説明してもらえますか。,medium,N3
M007,道が混んでいたため予定より遅れてしまいました。,medium,N3
M008,彼女は健康のために毎朝走るようにしています。,medium,N3
M009,この問題は簡単そうに見えて実は少し難しいです。,medium,N3
M010,予定を変更したので関係者に連絡しなければなりません。,medium,N3
M011,面接の前に自己紹介を練習しておくと安心です。,medium,N3
M012,旅行の準備をしていたら忘れ物が多いことに気づきました。,medium,N3
M013,彼が言ったことをそのまま信じるのは危ないと思います。,medium,N3
M014,この説明だけでは理解しにくいので例を見せてください。,medium,N3
M015,仕事が終わったら買い物してから帰るつもりです。,medium,N3
M016,やるべきことが多すぎて何から始めればいいか迷います。,medium,N3
M017,彼は約束の時間に遅れることが多いので心配です。,medium,N3
M018,料理を作ってみたら思ったより時間がかかりました。,medium,N3
M019,疲れているときは無理せず早めに休むべきです。,medium,N3
M020,説明を聞いてもまだ納得できない点がいくつかあります。,medium,N3
M021,新しい環境に慣れるまで少し時間が必要でした。,medium,N3
M022,忘れ物をすると困るので出発前に確認しています。,medium,N3
M023,彼は経験があるから大丈夫だと言われても不安が残ります。,medium,N3
M024,このアプリは便利ですが使い方に慣れるまで大変でした。,medium,N3
M025,試験が近いので毎日少しずつ復習することにしました。,medium,N3
M026,一度やると決めた以上最後までやり抜きたいです。,medium,N3
M027,説明が長すぎると途中で集中が切れてしまいます。,medium,N3
M028,予定どおりに進まない場合は別の方法を考えます。,medium,N3
M029,気を付けていても失敗してしまうことはあります。,medium,N3
M030,彼は忙しいにもかかわらず手伝ってくれて助かりました。,medium,N3
M031,資料を読んでから質問したほうが話が早いです。,medium,N3
M032,この結果を踏まえて次の計画を立てる必要があります。,medium,N3
M033,状況によっては判断を変えなければならないでしょう。,medium,N3
H001,彼が来ると言っていたにもかかわらず結局現れなかったので私たちは予定を変更せざるを得なかった。,hard,N2
H002,問題が複雑であればあるほど前提を丁寧に確認しないと結論が簡単に崩れてしまう。,hard,N2
H003,この提案は一見合理的に見えるが長期的な影響を考慮すると必ずしも最適とは言い切れない。,hard,N1
H004,彼女は反対されることを承知の上でなお自分の判断に基づいて決断した。,hard,N2
H005,資料を読み直したところ私が理解していた内容と実際の条件が微妙に食い違っていることが分かった。,hard,N2
H006,前例がないからといって不可能だと決めつけるべきではない。,hard,N2
H007,現状を踏まえた上で優先順位を再設定する必要がある。,hard,N2
H008,短期的な利益だけを追えば長期的な損失を招きかねない。,hard,N2
H009,彼の説明は要点を外しており説得力に欠けると言わざるを得ない。,hard,N2
H010,責任の所在が曖昧なままでは問題の再発を防げない。,hard,N2
H011,理想を語るだけではなく実行可能性を示すべきだ。,hard,N2
H012,彼の態度は誤解を招く恐れがあるため慎重に対応した。,hard,N2
H013,条件が整い次第改めて協議することとする。,hard,N2
